flag	content
flxgamepad_ps_a	Cross
flxgamepad_ps_b	Circle
flxgamepad_ps_x	Square
flxgamepad_ps_y	Triangle
flxgamepad_ps4_back	Share
flxgamepad_ps4_start	Options
flxgamepad_xbox_back	Back
flxgamepad_a	Action Down
flxgamepad_b	Action Right
flxgamepad_x	Action Left
flxgamepad_y	Action Up
flxgamepad_back	Select
flxgamepad_start	Start
flxgamepad_lshoulder	L. Bumper
flxgamepad_rshoulder	R. Bumper
flxgamepad_ltrigger	L. Trigger
flxgamepad_rtrigger	R. Trigger
flxgamepad_dpad_
flxgamepad_dpad_
flxgamepad_dpad_
flxgamepad_dpad_
flxgamepad_stickl_left	Left
flxgamepad_stickl_right	Right
flxgamepad_stickl_up	Up
flxgamepad_stickl_down	Down
flxgamepad_stickl_click	Analog Click
flxgamepad_stickr_left	C. Left
flxgamepad_stickr_right	C. Right
flxgamepad_stickr_up	C. Up
flxgamepad_stickr_down	C. Down
flxgamepad_stickr_click	C. Click
