flag	content
flxgamepad_ps_a	Cruzada
flxgamepad_ps_b	Círculo
flxgamepad_ps_x	Quadrado
flxgamepad_ps_y	Triângulo
flxgamepad_ps4_back	Share
flxgamepad_ps4_start	Options
flxgamepad_xbox_back	Voltar
flxgamepad_a	Ação para Baixo
flxgamepad_b	Ação à Direita
flxgamepad_x	Ação à Esquerda
flxgamepad_y	Ação para Cima
flxgamepad_back	Select
flxgamepad_start	Start
flxgamepad_lshoulder	L. Bumper
flxgamepad_rshoulder	R. Bumper
flxgamepad_ltrigger	L. Trigger
flxgamepad_rtrigger	R. Trigger
flxgamepad_dpad_left	Esquerda
flxgamepad_dpad_right	Direito
flxgamepad_dpad_up	Para Cima
flxgamepad_dpad_down	Para Baixo
flxgamepad_stickl_left	Esquerda
flxgamepad_stickl_right	Direita
flxgamepad_stickl_up	Para Cima
flxgamepad_stickl_down	Para Baixo
flxgamepad_stickl_click	Clique do A. Esq.
flxgamepad_stickr_left	(A. Dir.) Esquerda
flxgamepad_stickr_right	(A. Dir.) Direita
flxgamepad_stickr_up	(A. Dir.) Para Cima
flxgamepad_stickr_down	(A. Dir.) Para Baixo
flxgamepad_stickr_click	(A. Dir.) Clique
